CF,STD,NWC,Expendit,SIZE,TobinsQ,FIN,FINCF,CASH
0.046251267,0.073603038,0.049861762,0.001442214,22.16193899,1.447015,0,-4.04514E-05,0.013183715
0.073635388,0.044938301,-0.001102093,0.000689383,22.19919483,2.017437,0.052631579,1.83874E-05,0.034475906
-0.383494822,0.28119866,0.088833787,0.008184104,22.92576611,1.600073,0.04,0.005138465,-0.033789943
0.005926236,-0.015479322,0.099618058,0.003448443,23.31007171,2.046505,0.038461538,0.000534559,0.003071575
-0.178107256,0.246753398,0.165094506,0.001258471,23.72764217,1.256192,0.041666667,0.002305561,0.052692234
-0.074023024,0.309420261,0.094575959,0.002665382,24.20765766,0.993079,0.04,0.001431404,0.030594214
0.07587387,0.039020883,0.024725402,0.008058354,24.27399072,1.009551,0,-0.001580195,0.057878842
-0.080829566,0.099905657,0.021586887,0.002371584,24.42710083,0.944796,0.047619048,0.000550632,0.000215719
-0.04452081,-0.021265734,0.100943575,0.005036209,24.55865557,1.101036,0.090909091,-0.003503498,0.029762013
-0.055685097,-0.32148294,0.015871977,0.044487869,21.03093084,1.289649,0,0.005258065,-0.207595935
0.142463921,0.058839593,0.027440103,0.008588982,21.08670496,1.845393,0,-0.005041457,0.129801729
0.005928699,0.032843666,0.014658516,0.011408536,21.12167204,1.992367,0,0.002055462,-0.043907097
0.022358365,0.007336832,-0.104507747,0.006353556,21.17702454,1.298224,0,0.00120147,-0.002271398
0.015043158,-0.036162365,0.140382279,0.002662905,21.24918276,1.385004,0,0.001581705,0.045924698
-0.03636419,-0.104710785,-0.008476579,0.002410771,21.12966975,1.668642,0,0.00425379,-0.071969278
0.028206054,0.281158861,0.133812254,0.008538637,21.74100067,1.386501,0.04,0.000206835,0.016890877
0.012697727,-0.024206971,-0.507973194,0.00509461,19.03266446,10.696343,0.166666667,-0.003758935,0.025948146
0.001722983,-1.112919331,0.940835472,0.006777636,18.83141487,27.238459,0.153846154,-0.004456708,-0.019567851
0.213593588,-2.982890784,3.204105683,0.014766345,19.05666258,16.342267,0.166666667,0.019281409,0.208035033
0.043000101,0.001310083,0.005923135,0.110845993,19.15121647,7.330681,0.166666667,-0.000283616,-0.064876514
-0.041202633,-0.134471506,-0.066108375,0.121279032,19.08105721,8.08446,0.166666667,-0.009940659,-0.105746827
0.01918086,0.454261827,-0.023977364,0.027420714,19.75096357,4.70423,0.117647059,-0.001726565,0.074092999
-0.060981366,0.06120659,-0.08765903,0.029571693,19.95035667,5.9449,0.125,-0.007773442,-0.063787446
0.031669987,-2.367613123,1.204331778,0.001900827,21.84466313,1.265272,0.066666667,-0.000202739,0.109523593
0.307103674,-0.104704733,0.069128019,0.002291384,21.86046144,2.798382,0.066666667,0.00384283,0.142716115
0.251534094,0.156918663,0.102968408,0.002239287,22.15241762,1.536975,0.066666667,0.003026624,0.084185936
-0.112551552,-0.125489175,-0.005783911,0.000498347,22.07452398,1.123517,0.066666667,-0.002321064,-0.159137982
